"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-01","1938","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-02","1938","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-03","1938","03","4.6","","-8.0","","-1.7","","20.6","","-26.7","","11.7","","1.0","","12.7","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-04","1938","04","10.2","","-3.6","","3.3","","21.1","","-16.1","","10.4","","13.7","","24.1","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-05","1938","05","17.3","","4.1","","10.7","","26.7","","-5.0","","22.1","","8.4","","30.5","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-06","1938","06","23.6","","9.9","","16.8","","33.9","","0.0","","28.7","","0.0","","28.7","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-07","1938","07","26.5","","14.2","","20.4","","34.4","","8.3","","103.4","","0.0","","103.4","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-08","1938","08","26.7","","12.3","","19.5","","33.3","S","5.0","","44.2","","0.0","","44.2","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-09","1938","09","22.9","","7.4","","15.2","","32.2","","-2.2","S","6.1","","0.0","","6.1","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-10","1938","10","15.4","","3.0","","9.2","","27.8","","-6.1","S","6.4","","3.8","","10.2","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-11","1938","11","-2.3","","-12.2","","-7.3","","11.7","","-25.6","S","2.3","","19.6","","21.8","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1938-12","1938","12","-8.1","","-15.8","","-12.0","","2.2","","-37.2","","0.0","T","30.0","","30.0","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-01","1939","01","-10.3","","-20.4","","-15.4","","-2.8","S","-35.6","","0.0","T","20.1","","20.1","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-02","1939","02","-17.7","","-27.8","","-22.8","","0.0","","-38.9","S","0.0","","37.6","","37.6","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-03","1939","03","-4.7","","-15.2","","-10.0","","11.7","","-37.2","","0.0","T","1.5","","1.5","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-04","1939","04","9.1","","-3.6","","2.8","","28.3","","-16.1","","25.9","","1.5","","27.4","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-05","1939","05","19.8","","6.4","","13.1","","34.4","","-5.6","","34.8","","0.0","","34.8","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-06","1939","06","21.0","","9.1","","15.1","","30.0","","2.8","","63.2","","0.0","","63.2","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-07","1939","07","28.8","","13.9","","21.4","","37.8","","1.7","","36.1","","0.0","","36.1","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-08","1939","08","26.5","","13.3","","19.9","","34.4","S","7.8","","140.0","","0.0","","140.0","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","1939-09","1939","09","18.8","","7.0","","12.9","","30.0","","-5.0","","41.1","","0.0","T","41.1","","","","","","",""
